ID,HP,MP,AT,MAT,SPD,DF,MDF,A-AV,M-AV,SPECIAL,UK,Element,Element Null,Status Resist,Target Arrow X,Target Arrow Y,Target Arrow Z,UK,UK,UK,UK,UK,UK,UK,Name
0,20,0,7,5,50,150,75,0,0,0,0,2,0,99,5,12,0,8,5,2,5,6,0,0,Mantis
1,80,0,30,23,60,200,50,0,0,0,0,2,0,99,253,7,0,9,9,2,1,4,0,0,Scissorhands
2,384,0,40,57,60,80,160,0,0,128,0,8,0,255,0,16,0,0,0,1,1,10,0,0,Spinninghead
3,1440,0,80,63,50,80,80,0,0,16,0,2,0,99,0,16,0,0,0,5,13,14,0,0,Sandworm
4,33,0,8,11,70,80,120,20,0,0,0,128,0,99,1,12,0,8,8,1,0,7,0,0,Sea Dragon
5,312,0,51,56,60,100,120,10,0,0,0,1,0,99,0,9,0,8,4,2,1,6,0,0,Land Skater
6,336,0,66,42,50,130,90,0,0,16,0,64,0,99,3,15,0,8,5,3,2,9,0,0,Beastie Dragon
7,960,0,80,91,50,150,160,0,0,16,0,4,0,99,3,12,0,0,0,2,8,7,0,0,Manticore
8,4,0,2,1,40,120,120,0,0,0,0,128,0,99,1,9,0,8,6,1,1,6,0,0,Goblin
9,960,0,90,65,50,160,100,0,0,16,0,2,0,107,0,17,0,8,3,3,3,12,0,0,Minotaur
10,960,0,95,72,60,180,80,0,0,144,0,4,0,255,0,17,0,8,3,2,1,10,0,0,Hyper Skeleton
11,656,0,86,86,50,100,100,0,0,144,0,2,0,99,255,16,0,8,3,3,0,8,0,0,Basilisk
12,560,0,52,33,50,60,60,0,0,16,0,2,0,99,2,19,0,0,0,3,5,12,0,0,Flabby Troll
13,30,0,8,6,60,80,60,0,0,0,0,2,0,99,255,7,0,11,0,3,2,5,0,0,Evil Spider
14,100,0,30,27,60,180,100,0,0,0,0,16,0,99,0,18,0,8,4,2,0,9,0,0,Spider Urchin
15,80,0,18,13,60,120,80,0,0,0,0,2,0,99,0,16,0,8,4,2,2,10,0,0,Strong Man
16,296,0,32,31,80,120,150,0,0,0,0,16,0,99,0,20,0,16,10,3,0,15,0,0,Dragonfly
17,150,0,18,29,60,80,160,5,0,0,0,128,0,99,0,8,0,8,5,0,4,4,0,0,Hell Hound
18,200,0,50,35,50,120,60,0,0,144,0,4,0,127,1,22,0,8,5,3,2,16,0,0,Death
19,40,0,14,12,50,160,40,0,0,0,0,2,0,99,0,14,0,12,5,2,0,9,0,0,Lizard Man
20,500,0,81,58,50,120,80,0,0,0,0,2,0,99,250,15,0,8,5,3,251,9,0,0,White Ape
21,3,0,2,2,45,100,120,0,0,0,0,64,0,99,1,11,0,10,5,1,2,7,0,0,Assassin Cock
22,45,0,9,11,60,100,80,0,0,0,0,1,0,107,255,14,0,8,3,2,255,10,0,0,Merman
23,320,0,33,47,70,80,120,10,0,0,0,1,0,99,0,7,0,10,10,1,1,5,0,0,Glare
24,2,0,1,1,45,80,120,0,0,0,0,4,0,107,4,6,0,8,5,0,5,4,0,0,Berserk Mouse
25,488,0,122,86,50,160,100,0,0,0,0,2,0,99,3,14,2,8,5,2,2,9,0,0,Dragon Soldier
26,200,0,33,27,50,140,60,0,0,16,0,2,0,99,2,15,0,8,3,3,10,9,0,0,Earth Shaker
27,13,0,4,6,70,80,120,0,0,0,0,4,0,99,255,7,0,8,5,0,0,5,0,0,Vampire Kiwi
28,30,0,6,13,80,80,180,20,0,0,0,2,0,227,0,8,0,8,3,1,0,6,0,0,Myconido
29,208,0,27,27,60,100,30,0,0,16,0,64,0,99,3,18,0,0,0,3,4,11,0,0,Roc
30,256,0,53,47,50,160,70,0,0,0,0,2,2,255,0,12,0,9,5,1,255,6,0,0,Gnome
31,400,0,70,50,60,160,80,0,0,0,0,8,0,255,0,16,0,16,8,2,2,10,0,0,Bowling
32,360,0,56,68,50,120,160,0,0,16,0,1,1,255,1,21,0,8,7,2,1,14,0,0,Freeze Knight
33,26,0,8,13,60,100,160,20,20,0,0,128,128,255,254,18,0,10,4,2,255,14,0,0,Fire Spirit
34,799,0,107,93,65,250,100,0,0,128,0,16,0,255,0,22,0,8,4,2,1,14,0,0,Mad Skull
35,64,0,12,12,60,100,80,0,0,0,0,16,0,99,0,16,0,8,4,1,6,10,0,0,Run Fast
36,520,0,58,76,70,100,140,10,0,0,0,64,0,227,0,19,0,0,0,1,5,15,0,0,Canbria Dayfly
37,544,0,72,61,80,160,100,20,0,0,0,64,0,99,4,28,0,0,0,3,0,22,0,0,Wyvern
38,5,0,2,2,30,160,40,0,0,0,0,2,0,99,0,10,0,8,6,3,1,7,0,0,Trent
39,400,0,64,60,70,150,80,0,0,0,0,8,0,255,1,15,0,22,5,1,2,9,0,0,Spring Hitter
40,621,0,65,83,60,150,120,0,0,0,0,4,0,255,0,28,0,8,10,3,2,22,0,0,Guillotine
41,432,0,71,51,80,120,80,0,0,0,0,8,0,255,1,17,0,8,2,2,0,12,0,0,Terminator
42,4,0,0,0,150,100,100,50,50,131,0,8,0,255,0,14,0,8,8,1,0,11,0,0,OOPARTS
43,320,0,43,57,70,80,150,10,10,0,0,32,0,99,0,14,0,8,4,1,255,11,0,0,Fairy
44,304,0,47,47,60,100,120,0,0,0,0,2,0,99,0,11,0,8,5,1,0,7,0,0,Puck
45,16,0,6,5,50,160,80,0,0,16,0,2,0,99,0,14,0,8,5,1,1,10,0,0,Mole
46,12,0,5,9,70,80,120,20,0,0,0,4,0,99,0,17,0,17,5,0,0,13,0,0,Screaming Bat
47,440,0,60,60,60,100,150,0,0,0,0,4,0,99,0,15,0,8,10,2,0,11,0,0,Succubus
48,1280,0,75,56,50,80,60,0,0,144,0,2,0,99,10,30,0,0,0,5,11,14,0,0,Mammoth
49,656,0,74,105,70,80,120,5,0,0,0,16,0,99,3,10,0,8,10,1,6,6,0,0,MetalFang
50,320,0,50,70,70,80,100,20,0,0,0,64,0,99,0,5,0,8,4,2,6,4,0,0,Windy Weasel
51,560,0,62,44,60,140,40,0,0,16,0,2,0,107,2,20,0,8,4,3,5,15,0,0,Wounded Bear
